Iteration,Time,Fitness,FEvals,max_iters,Algorithm
0,0.0013044000079389662,473.0,50.0,4096,GA
1,0.022262600003159605,537.0,102.0,4096,GA
2,0.026782200002344325,537.0,153.0,4096,GA
3,0.032247900002403185,539.0,205.0,4096,GA
4,0.035334800006239675,539.0,256.0,4096,GA
5,0.040909200004534796,546.0,308.0,4096,GA
6,0.043856400006916374,546.0,359.0,4096,GA
7,0.04692960000829771,546.0,410.0,4096,GA
8,0.05004750000080094,546.0,461.0,4096,GA
9,0.055693000002065673,546.0,512.0,4096,GA
10,0.058815800002776086,550.0,564.0,4096,GA
11,0.061896300001535565,550.0,615.0,4096,GA
12,0.06489910000527743,550.0,666.0,4096,GA
13,0.06799419999879319,556.0,718.0,4096,GA
14,0.07105440000304952,556.0,769.0,4096,GA
15,0.07400740000593942,559.0,821.0,4096,GA
16,0.07691360000171699,566.0,873.0,4096,GA
17,0.08231130000785924,566.0,924.0,4096,GA
18,0.08568309999827761,566.0,975.0,4096,GA
19,0.08891809999477118,566.0,1026.0,4096,GA
20,0.09189559999504127,572.0,1078.0,4096,GA
21,0.0948740000021644,572.0,1129.0,4096,GA
22,0.09772109999903478,572.0,1180.0,4096,GA
23,0.10073580000607762,572.0,1231.0,4096,GA
24,0.10369220000575297,592.0,1283.0,4096,GA
25,0.10674960000324063,592.0,1334.0,4096,GA
26,0.10978630000317935,592.0,1385.0,4096,GA
27,0.11274120000598487,592.0,1436.0,4096,GA
28,0.11593280000670347,592.0,1487.0,4096,GA
29,0.11903159999928903,592.0,1538.0,4096,GA
30,0.12206460000015795,592.0,1589.0,4096,GA
31,0.12497740000253543,592.0,1640.0,4096,GA
32,0.12800500000594184,592.0,1691.0,4096,GA
33,0.13352390000363812,592.0,1742.0,4096,GA
34,0.1366104000044288,592.0,1793.0,4096,GA
35,0.1396281000052113,592.0,1844.0,4096,GA
36,0.14260370000556577,600.0,1896.0,4096,GA
37,0.14566569999442436,614.0,1948.0,4096,GA
38,0.14878930000122637,614.0,1999.0,4096,GA
39,0.1518480999948224,614.0,2050.0,4096,GA
40,0.15491969999857247,614.0,2101.0,4096,GA
41,0.15783559999545105,614.0,2152.0,4096,GA
42,0.16086360000190325,614.0,2203.0,4096,GA
43,0.16405680000025313,622.0,2255.0,4096,GA
44,0.16719300000113435,622.0,2306.0,4096,GA
45,0.17031000000133645,622.0,2357.0,4096,GA
46,0.1731904000043869,622.0,2408.0,4096,GA
47,0.1762293000065256,630.0,2460.0,4096,GA
48,0.17936639999970794,630.0,2511.0,4096,GA
49,0.18254560000787023,630.0,2562.0,4096,GA
50,0.18549720000009984,630.0,2613.0,4096,GA
51,0.18847000000823755,630.0,2664.0,4096,GA
52,0.19155299999692943,630.0,2715.0,4096,GA
53,0.1945553999976255,634.0,2767.0,4096,GA
54,0.19757210000534542,634.0,2818.0,4096,GA
55,0.200545300001977,638.0,2870.0,4096,GA
56,0.20359859999734908,646.0,2922.0,4096,GA
57,0.20661069999914616,646.0,2973.0,4096,GA
58,0.2097728999942774,646.0,3024.0,4096,GA
59,0.21284900000318885,646.0,3075.0,4096,GA
60,0.21585599999525584,656.0,3127.0,4096,GA
61,0.2188051999983145,658.0,3179.0,4096,GA
62,0.2218202000076417,658.0,3230.0,4096,GA
63,0.2248933999944711,658.0,3281.0,4096,GA
64,0.2283434999990277,666.0,3333.0,4096,GA
65,0.2339568000024883,666.0,3384.0,4096,GA
66,0.23696759999438655,666.0,3435.0,4096,GA
67,0.2398795000044629,666.0,3486.0,4096,GA
68,0.24345029999676626,670.0,3538.0,4096,GA
69,0.2464793999970425,676.0,3590.0,4096,GA
70,0.24945319999824278,676.0,3641.0,4096,GA
71,0.25241539999842644,676.0,3692.0,4096,GA
72,0.25538679999590386,680.0,3744.0,4096,GA
73,0.258551200007787,680.0,3795.0,4096,GA
74,0.26163580000866205,682.0,3847.0,4096,GA
75,0.26454849999572616,684.0,3899.0,4096,GA
76,0.2676406999962637,688.0,3951.0,4096,GA
77,0.2705714000039734,688.0,4002.0,4096,GA
78,0.2737269000062952,688.0,4053.0,4096,GA
79,0.27674190000107046,688.0,4104.0,4096,GA
80,0.27980040000693407,694.0,4156.0,4096,GA
81,0.28273999999510124,694.0,4207.0,4096,GA
82,0.2858249999990221,694.0,4258.0,4096,GA
83,0.28871710000385065,696.0,4310.0,4096,GA
84,0.29173090000404045,696.0,4361.0,4096,GA
85,0.2948141999950167,698.0,4413.0,4096,GA
86,0.297863600004348,701.0,4465.0,4096,GA
87,0.30090230000496376,701.0,4516.0,4096,GA
88,0.30393560000811704,701.0,4567.0,4096,GA
89,0.3070445000048494,701.0,4618.0,4096,GA
90,0.31007900000258815,702.0,4670.0,4096,GA
91,0.3131548999954248,707.0,4722.0,4096,GA
92,0.31618530000559986,707.0,4773.0,4096,GA
93,0.3191635999974096,716.0,4825.0,4096,GA
94,0.3223259000078542,716.0,4876.0,4096,GA
95,0.3253608999948483,716.0,4927.0,4096,GA
96,0.3284516999992775,716.0,4978.0,4096,GA
97,0.3313666000030935,716.0,5029.0,4096,GA
98,0.33445819999906234,718.0,5081.0,4096,GA
99,0.33755070000188425,718.0,5132.0,4096,GA
100,0.34060470000258647,718.0,5183.0,4096,GA
101,0.3434890000062296,718.0,5234.0,4096,GA
102,0.34651849999499973,718.0,5285.0,4096,GA
103,0.3495275000022957,722.0,5337.0,4096,GA
104,0.3527581999951508,722.0,5388.0,4096,GA
105,0.3557831000071019,722.0,5439.0,4096,GA
106,0.35892949999833945,722.0,5490.0,4096,GA
107,0.3619594000047073,722.0,5541.0,4096,GA
108,0.3649081000039587,725.0,5593.0,4096,GA
109,0.36823110000113957,726.0,5645.0,4096,GA
110,0.3721778000035556,727.0,5697.0,4096,GA
111,0.3752195999986725,730.0,5749.0,4096,GA
112,0.3783712000004016,730.0,5800.0,4096,GA
113,0.3814083000033861,730.0,5851.0,4096,GA
114,0.38474930000666063,730.0,5902.0,4096,GA
115,0.38827510000555776,730.0,5953.0,4096,GA
116,0.3913412999972934,732.0,6005.0,4096,GA
117,0.3943440000002738,733.0,6057.0,4096,GA
118,0.39736820000689477,733.0,6108.0,4096,GA
119,0.4006022999965353,734.0,6160.0,4096,GA
120,0.40367390000028536,736.0,6212.0,4096,GA
121,0.40673630000674166,736.0,6263.0,4096,GA
122,0.4097875000006752,738.0,6315.0,4096,GA
123,0.4127593000011984,740.0,6367.0,4096,GA
124,0.4191879999998491,746.0,6419.0,4096,GA
125,0.42297830000461545,746.0,6470.0,4096,GA
