Iteration,Time,Fitness,FEvals,max_iters,Restarts,Algorithm
1,0.0037117000028956,485.0,11256.0,4096,30,RHC
2,0.0062672000058228,487.0,11258.0,4096,30,RHC
3,0.0097295000014128,487.0,11259.0,4096,30,RHC
4,0.0097748999978648,487.0,11260.0,4096,30,RHC
5,0.012178999997559,487.0,11261.0,4096,30,RHC
6,0.0122129000083077,489.0,11263.0,4096,30,RHC
7,0.0122392000048421,491.0,11265.0,4096,30,RHC
8,0.0122823999990941,491.0,11266.0,4096,30,RHC
9,0.014776800002437,491.0,11267.0,4096,30,RHC
10,0.014820199998212,491.0,11268.0,4096,30,RHC
11,0.0148566999996546,491.0,11269.0,4096,30,RHC
12,0.014891600003466,491.0,11270.0,4096,30,RHC
13,0.0149266000080388,491.0,11271.0,4096,30,RHC
14,0.0149603000027127,491.0,11272.0,4096,30,RHC
15,0.0149931000050855,493.0,11274.0,4096,30,RHC
16,0.0150243000098271,493.0,11275.0,4096,30,RHC
17,0.0181287000013981,493.0,11276.0,4096,30,RHC
18,0.0181855999981053,493.0,11277.0,4096,30,RHC
19,0.018224100000225,495.0,11279.0,4096,30,RHC
20,0.0182738000003155,495.0,11280.0,4096,30,RHC
21,0.0183237000019289,495.0,11281.0,4096,30,RHC
22,0.0183594999980414,495.0,11282.0,4096,30,RHC
23,0.0184116000018548,497.0,11284.0,4096,30,RHC
24,0.0184477000002516,497.0,11285.0,4096,30,RHC
25,0.0184974000003421,497.0,11286.0,4096,30,RHC
26,0.0185466999973868,497.0,11287.0,4096,30,RHC
27,0.0185838000033982,497.0,11288.0,4096,30,RHC
28,0.0186210000101709,499.0,11290.0,4096,30,RHC
29,0.0186570000078063,501.0,11292.0,4096,30,RHC
30,0.0186953000084031,503.0,11294.0,4096,30,RHC
31,0.018732299999101,505.0,11296.0,4096,30,RHC
32,0.0187689000013051,507.0,11298.0,4096,30,RHC
33,0.0213687000068603,509.0,11300.0,4096,30,RHC
34,0.0214042000006884,509.0,11301.0,4096,30,RHC
35,0.0214363999984925,509.0,11302.0,4096,30,RHC
36,0.0214667999971425,509.0,11303.0,4096,30,RHC
37,0.0214986000064527,511.0,11305.0,4096,30,RHC
38,0.0215292000066256,511.0,11306.0,4096,30,RHC
39,0.0215586999984225,511.0,11307.0,4096,30,RHC
40,0.0215988999989349,511.0,11308.0,4096,30,RHC
41,0.0216329000104451,511.0,11309.0,4096,30,RHC
42,0.0216623000014806,511.0,11310.0,4096,30,RHC
43,0.0216923999978462,513.0,11312.0,4096,30,RHC
44,0.0217230999987805,515.0,11314.0,4096,30,RHC
45,0.0217651999992085,515.0,11315.0,4096,30,RHC
46,0.0217984000046271,515.0,11316.0,4096,30,RHC
47,0.0218299999978626,517.0,11318.0,4096,30,RHC
48,0.0218626999994739,519.0,11320.0,4096,30,RHC
49,0.0218976000032853,519.0,11321.0,4096,30,RHC
50,0.0219300000026123,519.0,11322.0,4096,30,RHC
51,0.0219648000056622,519.0,11323.0,4096,30,RHC
52,0.0219982999988133,519.0,11324.0,4096,30,RHC
53,0.0220324999972945,519.0,11325.0,4096,30,RHC
54,0.0220652999996673,521.0,11327.0,4096,30,RHC
55,0.0220968000066932,523.0,11329.0,4096,30,RHC
56,0.0221391000086441,523.0,11330.0,4096,30,RHC
57,0.0221729000040795,525.0,11332.0,4096,30,RHC
58,0.0222172000067075,525.0,11333.0,4096,30,RHC
59,0.0222615000093355,527.0,11335.0,4096,30,RHC
60,0.022304800004349,529.0,11337.0,4096,30,RHC
61,0.022339400005876,529.0,11338.0,4096,30,RHC
62,0.022374000007403,529.0,11339.0,4096,30,RHC
63,0.0224182000092696,531.0,11341.0,4096,30,RHC
64,0.0224645999987842,531.0,11342.0,4096,30,RHC
65,0.0253758000035304,531.0,11343.0,4096,30,RHC
66,0.0254271000012522,531.0,11344.0,4096,30,RHC
67,0.0254767000005813,533.0,11346.0,4096,30,RHC
68,0.0255135000043082,533.0,11347.0,4096,30,RHC
69,0.0255514000018592,535.0,11349.0,4096,30,RHC
70,0.0255887000093935,535.0,11350.0,4096,30,RHC
71,0.0256357000034768,535.0,11351.0,4096,30,RHC
72,0.025671900002635,537.0,11353.0,4096,30,RHC
73,0.0257094999979017,537.0,11354.0,4096,30,RHC
74,0.0257471000077202,537.0,11355.0,4096,30,RHC
75,0.0257858999975724,537.0,11356.0,4096,30,RHC
76,0.025823300005868,537.0,11357.0,4096,30,RHC
77,0.0258615000057034,537.0,11358.0,4096,30,RHC
78,0.0258973000018158,539.0,11360.0,4096,30,RHC
79,0.0259349999978439,539.0,11361.0,4096,30,RHC
80,0.0259740000037709,541.0,11363.0,4096,30,RHC
81,0.0260120000020833,543.0,11365.0,4096,30,RHC
82,0.0260484000027645,543.0,11366.0,4096,30,RHC
83,0.0260855000087758,543.0,11367.0,4096,30,RHC
84,0.0261322000005748,543.0,11368.0,4096,30,RHC
85,0.0261795999977039,543.0,11369.0,4096,30,RHC
86,0.0262175000098068,543.0,11370.0,4096,30,RHC
87,0.0262650000076973,545.0,11372.0,4096,30,RHC
88,0.0263038999983109,545.0,11373.0,4096,30,RHC
89,0.0263427000027149,545.0,11374.0,4096,30,RHC
90,0.0263822999986587,545.0,11375.0,4096,30,RHC
91,0.0264342000009492,545.0,11376.0,4096,30,RHC
92,0.0264861000032397,547.0,11378.0,4096,30,RHC
93,0.0265268000075593,547.0,11379.0,4096,30,RHC
94,0.0265694999980041,547.0,11380.0,4096,30,RHC
95,0.0266084000031696,547.0,11381.0,4096,30,RHC
96,0.0266517999989446,547.0,11382.0,4096,30,RHC
97,0.0267029000096954,547.0,11383.0,4096,30,RHC
98,0.0267478000023402,549.0,11385.0,4096,30,RHC
99,0.0267879000020911,551.0,11387.0,4096,30,RHC
100,0.0268310000101337,551.0,11388.0,4096,30,RHC
101,0.0268714999983785,551.0,11389.0,4096,30,RHC
102,0.0269209000107366,551.0,11390.0,4096,30,RHC
103,0.0269613999989815,551.0,11391.0,4096,30,RHC
104,0.0270027000078698,551.0,11392.0,4096,30,RHC
105,0.027043499998399,551.0,11393.0,4096,30,RHC
106,0.0270846000057645,551.0,11394.0,4096,30,RHC
107,0.0271305000060237,551.0,11395.0,4096,30,RHC
108,0.0271854000020539,553.0,11397.0,4096,30,RHC
109,0.0272331000014673,553.0,11398.0,4096,30,RHC
110,0.0272800000093411,555.0,11400.0,4096,30,RHC
111,0.027332199999364,555.0,11401.0,4096,30,RHC
112,0.0273843000031774,555.0,11402.0,4096,30,RHC
113,0.0274309000087669,557.0,11404.0,4096,30,RHC
114,0.0274789000104647,557.0,11405.0,4096,30,RHC
115,0.0275223000062396,559.0,11407.0,4096,30,RHC
116,0.0275659000035375,559.0,11408.0,4096,30,RHC
117,0.0276111999992281,559.0,11409.0,4096,30,RHC
118,0.0276551999995717,559.0,11410.0,4096,30,RHC
119,0.027702200008207,559.0,11411.0,4096,30,RHC
120,0.0277585000003455,559.0,11412.0,4096,30,RHC
121,0.0278117999987443,559.0,11413.0,4096,30,RHC
122,0.0278558999998495,559.0,11414.0,4096,30,RHC
123,0.0278995999979088,559.0,11415.0,4096,30,RHC
124,0.0279484000056982,561.0,11417.0,4096,30,RHC
125,0.0279940000036731,561.0,11418.0,4096,30,RHC
126,0.0280398000031709,561.0,11419.0,4096,30,RHC
127,0.0280885000101989,561.0,11420.0,4096,30,RHC
128,0.0281366999988676,563.0,11422.0,4096,30,RHC
129,0.0309246999968308,563.0,11423.0,4096,30,RHC
130,0.0309942000021692,565.0,11425.0,4096,30,RHC
131,0.0310607999999774,565.0,11426.0,4096,30,RHC
132,0.031138300008024,567.0,11428.0,4096,30,RHC
133,0.0312055999966105,567.0,11429.0,4096,30,RHC
134,0.0312706999975489,567.0,11430.0,4096,30,RHC
135,0.0313348000054247,569.0,11432.0,4096,30,RHC
136,0.0313984000094933,571.0,11434.0,4096,30,RHC
137,0.0314653000095859,571.0,11435.0,4096,30,RHC
138,0.0315472000074805,571.0,11436.0,4096,30,RHC
139,0.0316333000082522,571.0,11437.0,4096,30,RHC
140,0.0317766000080155,571.0,11438.0,4096,30,RHC
141,0.0319543000077828,571.0,11439.0,4096,30,RHC
142,0.0320445000106701,571.0,11440.0,4096,30,RHC
143,0.0321200000034878,571.0,11441.0,4096,30,RHC
144,0.0321935000101802,571.0,11442.0,4096,30,RHC
145,0.0322543000074802,571.0,11443.0,4096,30,RHC
146,0.032327000008081,571.0,11444.0,4096,30,RHC
