Iteration,Time,Fitness,FEvals,max_iters,Algorithm
0,0.00014500001270789653,473.0,0.0,4096,SA
1,0.0035115000064251944,475.0,2.0,4096,SA
2,0.006543800001963973,475.0,4.0,4096,SA
3,0.009911300003295764,475.0,5.0,4096,SA
4,0.00998980000440497,475.0,7.0,4096,SA
5,0.01298260000476148,475.0,9.0,4096,SA
6,0.013032300004852004,477.0,11.0,4096,SA
7,0.013074800008325838,479.0,13.0,4096,SA
8,0.013124200006132014,479.0,15.0,4096,SA
9,0.015983800010872073,479.0,16.0,4096,SA
10,0.01603590000013355,479.0,18.0,4096,SA
11,0.016069000004790723,479.0,19.0,4096,SA
12,0.016112100012833253,479.0,21.0,4096,SA
13,0.016151300005731173,481.0,23.0,4096,SA
14,0.016181800005142577,481.0,24.0,4096,SA
15,0.01621270000759978,481.0,25.0,4096,SA
16,0.016251300010480918,483.0,27.0,4096,SA
17,0.019085500010987744,483.0,29.0,4096,SA
18,0.019138400006340817,483.0,31.0,4096,SA
19,0.019186800011084415,483.0,33.0,4096,SA
20,0.01922140001261141,483.0,34.0,4096,SA
21,0.01926400000229478,485.0,36.0,4096,SA
22,0.01930460000585299,487.0,38.0,4096,SA
23,0.01934530001017265,489.0,40.0,4096,SA
24,0.019376500000362284,489.0,41.0,4096,SA
25,0.019421400007558987,489.0,43.0,4096,SA
26,0.01946370000950992,489.0,45.0,4096,SA
27,0.019503500006976537,491.0,47.0,4096,SA
28,0.01954590000968892,491.0,49.0,4096,SA
29,0.019586300011724234,493.0,51.0,4096,SA
30,0.01962630001071375,495.0,53.0,4096,SA
31,0.019660500009194948,495.0,54.0,4096,SA
32,0.019705400001839735,495.0,56.0,4096,SA
33,0.02256780001334846,495.0,58.0,4096,SA
34,0.022610600004554726,495.0,59.0,4096,SA
35,0.022662000003037974,495.0,61.0,4096,SA
36,0.022698500004480593,495.0,62.0,4096,SA
37,0.02275000000372529,495.0,64.0,4096,SA
38,0.022786900008213706,495.0,65.0,4096,SA
39,0.022833900002297014,495.0,67.0,4096,SA
40,0.02288050000788644,495.0,69.0,4096,SA
41,0.022925199999008328,497.0,71.0,4096,SA
42,0.022961800001212396,497.0,72.0,4096,SA
43,0.023010400007478893,497.0,74.0,4096,SA
44,0.023058600010699593,497.0,76.0,4096,SA
45,0.023106300010113046,497.0,78.0,4096,SA
46,0.023152400011895224,499.0,80.0,4096,SA
47,0.02319990000978578,499.0,82.0,4096,SA
48,0.023245200005476363,501.0,84.0,4096,SA
49,0.023290100012673065,503.0,86.0,4096,SA
50,0.023327100003371015,503.0,87.0,4096,SA
51,0.023366800000076182,503.0,88.0,4096,SA
52,0.02342779999889899,503.0,90.0,4096,SA
