Iteration,Time,Fitness,FEvals,max_iters,Algorithm
0,0.009393200001795776,1245.0,500.0,4096,MIMIC
1,0.05689910000364762,1534.0,1002.0,4096,MIMIC
2,0.10475880000012694,1725.0,1504.0,4096,MIMIC
3,0.14700680000532884,1725.0,2005.0,4096,MIMIC
4,0.1912542000063695,1793.0,2507.0,4096,MIMIC
5,0.23762250000436325,1823.0,3009.0,4096,MIMIC
6,0.28183240000362275,1876.0,3511.0,4096,MIMIC
7,0.3346111999999266,1899.0,4013.0,4096,MIMIC
8,0.3836537000024691,1933.0,4515.0,4096,MIMIC
9,0.4329654000030132,1960.0,5017.0,4096,MIMIC
10,0.4763849000009941,1969.0,5519.0,4096,MIMIC
11,0.5181526000014856,2001.0,6021.0,4096,MIMIC
12,0.5610865000053309,2001.0,6522.0,4096,MIMIC
13,0.6049206000025151,2017.0,7024.0,4096,MIMIC
14,0.6542015000013635,2017.0,7525.0,4096,MIMIC
15,0.6986213000054704,2024.0,8027.0,4096,MIMIC
16,0.7453766000035102,2024.0,8528.0,4096,MIMIC
17,0.7899174000049243,2024.0,9029.0,4096,MIMIC
18,0.8774435000013909,2024.0,9530.0,4096,MIMIC
19,1.0077690000034636,2024.0,10031.0,4096,MIMIC
20,1.1279737000004388,2024.0,10532.0,4096,MIMIC
