Iteration,Time,Fitness,FEvals,max_iters,Restarts,Algorithm
1,0.0013561000014306,1350.0,2211.0,4096,10,RHC
2,0.0022635999994236,1385.0,2213.0,4096,10,RHC
3,0.0033500999998068,1407.0,2215.0,4096,10,RHC
4,0.0033947999982046,1413.0,2217.0,4096,10,RHC
5,0.0044043000016245,1427.0,2219.0,4096,10,RHC
6,0.0044343999979901,1441.0,2221.0,4096,10,RHC
7,0.0044702000013785,1485.0,2223.0,4096,10,RHC
8,0.0044975999990128,1500.0,2225.0,4096,10,RHC
9,0.0053636000011465,1500.0,2226.0,4096,10,RHC
10,0.0054051000042818,1500.0,2227.0,4096,10,RHC
11,0.0054395000042859,1500.0,2228.0,4096,10,RHC
12,0.0054712999990442,1500.0,2229.0,4096,10,RHC
13,0.0055025000037858,1538.0,2231.0,4096,10,RHC
14,0.0055255999977816,1538.0,2232.0,4096,10,RHC
15,0.0055494000043836,1544.0,2234.0,4096,10,RHC
16,0.005582099998719,1544.0,2235.0,4096,10,RHC
17,0.0063946000009309,1544.0,2236.0,4096,10,RHC
18,0.0064243000015267,1544.0,2237.0,4096,10,RHC
19,0.0064497999992454,1544.0,2238.0,4096,10,RHC
20,0.0064734999978099,1544.0,2239.0,4096,10,RHC
21,0.0064975999994203,1544.0,2240.0,4096,10,RHC
22,0.0065303000010317,1563.0,2242.0,4096,10,RHC
23,0.0065551000006962,1563.0,2243.0,4096,10,RHC
24,0.0065786999984993,1563.0,2244.0,4096,10,RHC
25,0.006603100002394,1563.0,2245.0,4096,10,RHC
26,0.006635500001721,1563.0,2246.0,4096,10,RHC
27,0.0066600999998627,1582.0,2248.0,4096,10,RHC
28,0.0066846999980043,1582.0,2249.0,4096,10,RHC
29,0.0067118000006303,1582.0,2250.0,4096,10,RHC
30,0.0067370000033406,1582.0,2251.0,4096,10,RHC
31,0.0067622999995364,1582.0,2252.0,4096,10,RHC
32,0.0067954000041936,1582.0,2253.0,4096,10,RHC
33,0.007606899998791,1582.0,2254.0,4096,10,RHC
34,0.0076386000000638,1582.0,2255.0,4096,10,RHC
35,0.0076662999999825,1582.0,2256.0,4096,10,RHC
36,0.0076931000003241,1582.0,2257.0,4096,10,RHC
37,0.0077218000005814,1582.0,2258.0,4096,10,RHC
38,0.0077490000039688,1582.0,2259.0,4096,10,RHC
39,0.0077844999977969,1582.0,2260.0,4096,10,RHC
40,0.0078126000007614,1582.0,2261.0,4096,10,RHC
41,0.0078407000037259,1582.0,2262.0,4096,10,RHC
42,0.0078675000040675,1582.0,2263.0,4096,10,RHC
43,0.0078961000035633,1582.0,2264.0,4096,10,RHC
44,0.0079231999989133,1582.0,2265.0,4096,10,RHC
45,0.0079511000003549,1582.0,2266.0,4096,10,RHC
46,0.0079796999998507,1582.0,2267.0,4096,10,RHC
47,0.0080080999978235,1582.0,2268.0,4096,10,RHC
48,0.0080375000034109,1582.0,2269.0,4096,10,RHC
49,0.0080669000017223,1582.0,2270.0,4096,10,RHC
50,0.0080959000042639,1582.0,2271.0,4096,10,RHC
51,0.0081248999995295,1582.0,2272.0,4096,10,RHC
52,0.0081544999993639,1582.0,2273.0,4096,10,RHC
53,0.0081859999991138,1582.0,2274.0,4096,10,RHC
54,0.0082172999973408,1582.0,2275.0,4096,10,RHC
55,0.0082471999994595,1582.0,2276.0,4096,10,RHC
56,0.0082766999985324,1582.0,2277.0,4096,10,RHC
57,0.0083071999979438,1582.0,2278.0,4096,10,RHC
58,0.0083387999984552,1582.0,2279.0,4096,10,RHC
59,0.0083691000036196,1582.0,2280.0,4096,10,RHC
60,0.0084007999976165,1582.0,2281.0,4096,10,RHC
61,0.0084329000019351,1582.0,2282.0,4096,10,RHC
