Iteration,Time,Fitness,FEvals,max_iters,Algorithm
0,7.370000093942508e-05,1245.0,0.0,4096,SA
1,0.0016061999995145015,1247.0,2.0,4096,SA
2,0.0034325000015087426,1296.0,4.0,4096,SA
3,0.017247300005692523,1296.0,5.0,4096,SA
4,0.017370300003676675,1285.0,7.0,4096,SA
5,0.018462300002283882,1334.0,9.0,4096,SA
6,0.018495000003895257,1378.0,11.0,4096,SA
7,0.018520500001613982,1378.0,12.0,4096,SA
8,0.018545800005085766,1378.0,13.0,4096,SA
9,0.019259799999417737,1378.0,14.0,4096,SA
10,0.019286900002043694,1378.0,15.0,4096,SA
11,0.019310600000608247,1378.0,16.0,4096,SA
12,0.01934130000154255,1363.0,18.0,4096,SA
13,0.019368600005691405,1373.0,20.0,4096,SA
14,0.019391300003917422,1373.0,21.0,4096,SA
15,0.01941390000138199,1373.0,22.0,4096,SA
16,0.019436700000369456,1373.0,23.0,4096,SA
17,0.02015910000045551,1393.0,25.0,4096,SA
18,0.02018820000375854,1393.0,26.0,4096,SA
19,0.020218700003169943,1401.0,28.0,4096,SA
20,0.02024330000131158,1401.0,29.0,4096,SA
21,0.020267200001399033,1401.0,30.0,4096,SA
22,0.020290799999202136,1401.0,31.0,4096,SA
23,0.020314800000051036,1401.0,32.0,4096,SA
24,0.02033740000479156,1401.0,33.0,4096,SA
25,0.020361100003356114,1401.0,34.0,4096,SA
26,0.020385100004205015,1401.0,35.0,4096,SA
27,0.020408700002008118,1401.0,36.0,4096,SA
28,0.020433199999388307,1401.0,37.0,4096,SA
29,0.020457200000237208,1401.0,38.0,4096,SA
30,0.02048099999956321,1401.0,39.0,4096,SA
31,0.020505400003457908,1401.0,40.0,4096,SA
32,0.020529400004306808,1401.0,41.0,4096,SA
33,0.021252099999401253,1401.0,42.0,4096,SA
34,0.021283200003381353,1401.0,43.0,4096,SA
35,0.021317000006092712,1398.0,45.0,4096,SA
36,0.021342500003811438,1398.0,46.0,4096,SA
37,0.021370200003730133,1398.0,47.0,4096,SA
38,0.021396600001025945,1398.0,48.0,4096,SA
39,0.021422500001790468,1398.0,49.0,4096,SA
40,0.02144850000331644,1398.0,50.0,4096,SA
41,0.02147569999942789,1398.0,51.0,4096,SA
42,0.021508400001039263,1382.0,53.0,4096,SA
43,0.021541400004934985,1369.0,55.0,4096,SA
44,0.02157380000426201,1366.0,57.0,4096,SA
45,0.021600000000034925,1366.0,58.0,4096,SA
46,0.021633299998939037,1347.0,60.0,4096,SA
47,0.021665899999788962,1333.0,62.0,4096,SA
48,0.02169829999911599,1344.0,64.0,4096,SA
49,0.02173130000301171,1331.0,66.0,4096,SA
50,0.02175849999912316,1331.0,67.0,4096,SA
51,0.02178980000462616,1353.0,69.0,4096,SA
52,0.021822800001245923,1386.0,71.0,4096,SA
53,0.02185230000031879,1386.0,72.0,4096,SA
54,0.02188200000091456,1386.0,73.0,4096,SA
55,0.0219135000006645,1407.0,75.0,4096,SA
56,0.021940700004051905,1407.0,76.0,4096,SA
57,0.021969600005832035,1407.0,77.0,4096,SA
58,0.02199780000228202,1407.0,78.0,4096,SA
59,0.022030400003131945,1425.0,80.0,4096,SA
60,0.02206280000245897,1474.0,82.0,4096,SA
61,0.022090800004662015,1474.0,83.0,4096,SA
62,0.02212050000525778,1474.0,84.0,4096,SA
63,0.022149200005515013,1474.0,85.0,4096,SA
64,0.022177700004249346,1474.0,86.0,4096,SA
65,0.023187099999631755,1474.0,87.0,4096,SA
66,0.023237800000060815,1499.0,89.0,4096,SA
67,0.023276700005226303,1499.0,90.0,4096,SA
68,0.02332360000582412,1477.0,92.0,4096,SA
69,0.02336720000312198,1488.0,94.0,4096,SA
70,0.023409800000081304,1510.0,96.0,4096,SA
71,0.023447700004908256,1510.0,97.0,4096,SA
72,0.023486400001274887,1510.0,98.0,4096,SA
73,0.023531200000434183,1526.0,100.0,4096,SA
74,0.023569299999508075,1526.0,101.0,4096,SA
75,0.023607499999343418,1526.0,102.0,4096,SA
76,0.02365470000222558,1518.0,104.0,4096,SA
77,0.023700500001723412,1558.0,106.0,4096,SA
78,0.023740800002997275,1558.0,107.0,4096,SA
79,0.023779400005878415,1558.0,108.0,4096,SA
80,0.023818100002245046,1558.0,109.0,4096,SA
81,0.023857000000134576,1558.0,110.0,4096,SA
82,0.023896200000308454,1558.0,111.0,4096,SA
83,0.023936800003866665,1558.0,112.0,4096,SA
84,0.023976500000571832,1558.0,113.0,4096,SA
85,0.024016000003030058,1558.0,114.0,4096,SA
86,0.02405620000354247,1558.0,115.0,4096,SA
87,0.024096600005577784,1558.0,116.0,4096,SA
88,0.024137899999914225,1558.0,117.0,4096,SA
89,0.02417810000042664,1558.0,118.0,4096,SA
90,0.02421870000398485,1558.0,119.0,4096,SA
91,0.024259000005258713,1558.0,120.0,4096,SA
92,0.024300100005348213,1558.0,121.0,4096,SA
93,0.024341600001207553,1558.0,122.0,4096,SA
94,0.024382300005527213,1558.0,123.0,4096,SA
95,0.024423200004093815,1558.0,124.0,4096,SA
96,0.024465000002237502,1558.0,125.0,4096,SA
97,0.024516900004527997,1557.0,127.0,4096,SA
98,0.024559199999202974,1557.0,128.0,4096,SA
99,0.024601900004199706,1557.0,129.0,4096,SA
100,0.024643900003866293,1557.0,130.0,4096,SA
101,0.024686600001587067,1557.0,131.0,4096,SA
102,0.02472900000429945,1557.0,132.0,4096,SA
103,0.02477780000481289,1579.0,134.0,4096,SA
104,0.0248210999998264,1579.0,135.0,4096,SA
105,0.02486460000363877,1579.0,136.0,4096,SA
106,0.02490830000169808,1579.0,137.0,4096,SA
107,0.02495230000204174,1579.0,138.0,4096,SA
108,0.024997200001962483,1579.0,139.0,4096,SA
109,0.025045100002898835,1579.0,140.0,4096,SA
110,0.025099200000113342,1561.0,142.0,4096,SA
111,0.02514550000341842,1561.0,143.0,4096,SA
112,0.02519130000291625,1561.0,144.0,4096,SA
113,0.02523780000046827,1561.0,145.0,4096,SA
114,0.02528340000571916,1561.0,146.0,4096,SA
115,0.025328800002171192,1561.0,147.0,4096,SA
116,0.025373700002091937,1561.0,148.0,4096,SA
117,0.02542130000074394,1561.0,149.0,4096,SA
118,0.02546720000100322,1561.0,150.0,4096,SA
119,0.025513600005069748,1561.0,151.0,4096,SA
120,0.025560200003383216,1561.0,152.0,4096,SA
121,0.02560720000474248,1561.0,153.0,4096,SA
122,0.025655000004917383,1561.0,154.0,4096,SA
123,0.025703500003146473,1561.0,155.0,4096,SA
124,0.02575090000027558,1561.0,156.0,4096,SA
125,0.025805299999774434,1584.0,158.0,4096,SA
126,0.02585430000181077,1584.0,159.0,4096,SA
127,0.025903300003847107,1584.0,160.0,4096,SA
128,0.025952399999368936,1584.0,161.0,4096,SA
129,0.02738060000410769,1584.0,162.0,4096,SA
130,0.027456300005724188,1584.0,163.0,4096,SA
131,0.027525700003025122,1584.0,164.0,4096,SA
132,0.02760100000159582,1632.0,166.0,4096,SA
133,0.02766880000126548,1632.0,167.0,4096,SA
134,0.027735499999835156,1632.0,168.0,4096,SA
135,0.027802900003734976,1632.0,169.0,4096,SA
136,0.027869400000781752,1632.0,170.0,4096,SA
137,0.027946400005021133,1645.0,172.0,4096,SA
138,0.028013000002829358,1645.0,173.0,4096,SA
139,0.028081100004783366,1645.0,174.0,4096,SA
140,0.02814040000521345,1645.0,175.0,4096,SA
141,0.028207200004544575,1635.0,177.0,4096,SA
142,0.028267800000321586,1635.0,178.0,4096,SA
143,0.02833210000244435,1657.0,180.0,4096,SA
144,0.02839440000389004,1657.0,181.0,4096,SA
145,0.02845800000068266,1657.0,182.0,4096,SA
146,0.028516600003058556,1657.0,183.0,4096,SA
147,0.028581700003996957,1694.0,185.0,4096,SA
148,0.028639800002565607,1694.0,186.0,4096,SA
149,0.02869980000104988,1694.0,187.0,4096,SA
150,0.028759200002241414,1694.0,188.0,4096,SA
151,0.028826699999626726,1680.0,190.0,4096,SA
152,0.02888570000504842,1680.0,191.0,4096,SA
153,0.028945300000486895,1680.0,192.0,4096,SA
154,0.02900480000243988,1680.0,193.0,4096,SA
155,0.02907730000151787,1666.0,195.0,4096,SA
156,0.029138600002625026,1666.0,196.0,4096,SA
157,0.029194100003223866,1666.0,197.0,4096,SA
158,0.02924920000077691,1666.0,198.0,4096,SA
159,0.0293043999990914,1666.0,199.0,4096,SA
160,0.029366800001298543,1667.0,201.0,4096,SA
161,0.029431800001475494,1672.0,203.0,4096,SA
162,0.029489700005797204,1672.0,204.0,4096,SA
163,0.02954670000326587,1672.0,205.0,4096,SA
164,0.029603800001495983,1672.0,206.0,4096,SA
165,0.02966079999896465,1672.0,207.0,4096,SA
166,0.029729100002441555,1712.0,209.0,4096,SA
167,0.029786800005240366,1712.0,210.0,4096,SA
168,0.02984450000076322,1712.0,211.0,4096,SA
169,0.02990270000009332,1712.0,212.0,4096,SA
170,0.029961600004753564,1712.0,213.0,4096,SA
171,0.030020199999853503,1712.0,214.0,4096,SA
172,0.030079900003329385,1712.0,215.0,4096,SA
173,0.03013910000299802,1712.0,216.0,4096,SA
174,0.030198300002666656,1712.0,217.0,4096,SA
175,0.030257200000050943,1712.0,218.0,4096,SA
176,0.03031570000166539,1712.0,219.0,4096,SA
177,0.030374900001334026,1712.0,220.0,4096,SA
178,0.030435100001341198,1712.0,221.0,4096,SA
179,0.03049530000134837,1712.0,222.0,4096,SA
